,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
6548,1438856433991311364,1438847551495626755,2021-09-17 09:24:41 Eastern Daylight Time,2021-09-17,09:24:41,-400,52653586,christianmccal,Christian Mccall,,@Apple_Tomorrow Preordered the iPhone 13 pro max 1tb in gold,en,[],[],[],0,0,0,[],[],https://twitter.com/ChristianMccal/status/1438856433991311364,False,,0,,,,,,,,"[{'screen_name': 'Apple_Tomorrow', 'name': 'Apple Tomorrow \uf8ff', 'id': '1248121370992664577'}]",,,,
6549,1438856433873788928,1438856433873788928,2021-09-17 09:24:41 Eastern Daylight Time,2021-09-17,09:24:41,-400,1438815181455314944,lifeshortfckit,Life is Short,,Iphone 13 cutiee,en,[],[],[],0,0,0,[],[],https://twitter.com/lifeshortfckit/status/1438856433873788928,False,https://twitter.com/imsuperaries/status/1438851808043040773,0,,,,,,,,[],,,,
6551,1438856418694729729,1438856418694729729,2021-09-17 09:24:37 Eastern Daylight Time,2021-09-17,09:24:37,-400,556008768,skywardsiren,Brigitte 🌱,,"If anyone is looking to get the iPhone 13 pro/max, AT&amp;T probably has the best trade in deal right now.",en,[],[],[],1,0,3,[],[],https://twitter.com/skywardsiren/status/1438856418694729729,False,,0,,,,,,,,[],,,,
6558,1438856395173072896,1438856395173072896,2021-09-17 09:24:31 Eastern Daylight Time,2021-09-17,09:24:31,-400,64388619,freekiegeekie,𝐅𝐫𝐞𝐬𝐡 𝐏𝐚𝐢𝐫 𝐨𝐟 𝐅𝐫𝐞𝐬𝐡 𝐀𝐢𝐫𝐬 🗽,,Yo this iPhone 13 preorder has been giving me a hassle all damn morning. Sheesh.,en,[],[],[],0,0,0,[],[],https://twitter.com/FreekieGeekie/status/1438856395173072896,False,,0,,,,,,,,[],,,,
6561,1438856387799535619,1438856387799535619,2021-09-17 09:24:30 Eastern Daylight Time,2021-09-17,09:24:30,-400,1387209434687025152,ay3_beans,Kweku^Dollar,,"Many go post iPhone 13,but few go afford am...sad truth",en,[],[],[],1,17,32,[],[],https://twitter.com/Ay3_Beans/status/1438856387799535619,False,,0,,,,,,,,[],,,,
6564,1438856357172629515,1438759636526632963,2021-09-17 09:24:22 Eastern Daylight Time,2021-09-17,09:24:22,-400,1110536593750790147,yesnik66,Yesnik66 💎 Avoid the Corbyn Variant @GBNEWS,,@NotreRene @itvnews @OffMyNoodles Apparently our Rene one of the awards is based on how fast you can get an iPhone 13 by any means necessarily 🙄,en,[],[],[],0,0,1,[],[],https://twitter.com/yesnik66/status/1438856357172629515,False,,0,,,,,,,,"[{'screen_name': 'NotreRene', 'name': 'Our René', 'id': '1357725985509154817'}, {'screen_name': 'itvnews', 'name': 'ITV News', 'id': '21866939'}, {'screen_name': 'OffMyNoodles', 'name': 'Sum Ting Wong', 'id': '1301089674983813120'}]",,,,
6567,1438856334976458754,1438856277728374787,2021-09-17 09:24:17 Eastern Daylight Time,2021-09-17,09:24:17,-400,1406474814701854720,appletesterrus,Yaroslav Gavrilov ,,"of different parameters, the iPhone 13 Pro turned out to be faster than the iPhone 12 Pro in terms of the CPU, graphics accelerator and memory — an increase of 17%, 19% and 44%, respectively. As you can see, the most significant improvement occurred precisely in terms of memory,",en,[],[],[],1,0,0,[],[],https://twitter.com/appletesterrus/status/1438856334976458754,False,,0,,,,,,,,[],,,,
6568,1438856321336545285,1438856321336545285,2021-09-17 09:24:14 Eastern Daylight Time,2021-09-17,09:24:14,-400,1248461520943497219,applesite_,AppleSite_,,Find the right iPhone 13 for you  https://t.co/8G9b1qharT  https://t.co/2iqqCOXgCp,en,[],['https://experience.apple/iphone/'],['https://pbs.twimg.com/media/E_fYMxHWUAMi8Jv.jpg'],0,0,0,[],[],https://twitter.com/AppleSite_/status/1438856321336545285,False,,1,https://pbs.twimg.com/media/E_fYMxHWUAMi8Jv.jpg,,,,,,,[],,,,
6570,1438856307856089089,1438856277728374787,2021-09-17 09:24:11 Eastern Daylight Time,2021-09-17,09:24:11,-400,1406474814701854720,appletesterrus,Yaroslav Gavrilov ,,"AnTuTu, the new iPhone 13 Pro with an A15 Bionic processor, 6 GB of RAM and a 1 TB drive gave out an impressive 839,675 points. This is more than 100 thousand more compared to last year's iPhone 12 Pro, which shows about 700,000 points. If you look at a more detailed comparison",en,[],[],[],1,0,0,[],[],https://twitter.com/appletesterrus/status/1438856307856089089,False,,0,,,,,,,,[],,,,
6574,1438856285391257602,1438856285391257602,2021-09-17 09:24:05 Eastern Daylight Time,2021-09-17,09:24:05,-400,257275490,theryanprhodes,Ryan (Taylor’s Version) 🧣,,Taylor said you want some magic on iPhone 13 day?,en,[],[],[],0,0,2,[],[],https://twitter.com/theryanprhodes/status/1438856285391257602,False,,0,,,,,,,,[],,,,
